iata,airport_name,icao,city,state,country,lat,lon,lat_lon
KBL,Kabul,OAKB,Kabul,,Afghanistan,34.5658989,69.21230316,"34.5658989,69.21230316"
KDH,Kandahar,OAKN,Daman,,Afghanistan,31.50580025,65.84780121,"31.50580025,65.84780121"
HEA,Herat,OAHR,Guzara,,Afghanistan,34.20999908,62.22829819,"34.20999908,62.22829819"
MZR,Mazar-e Sharif,OAMS,Marmul,,Afghanistan,36.70690155,67.20970154,"36.70690155,67.20970154"
TII,Tarin Kot,OATN,Tarin Kowt,,Afghanistan,32.60419846,65.86579895,"32.60419846,65.86579895"
FBD,Faizabad,OAFZ,Faizabad,,Afghanistan,37.12110138,70.51809692,"37.12110138,70.51809692"
MMZ,Maimanah,OAMN,Maymana,,Afghanistan,35.93080139,64.7609024,"35.93080139,64.7609024"
CCN,Chaghcharan,OACC,Chakcharan,,Afghanistan,34.53300095,65.26699829,"34.53300095,65.26699829"
BIN,Bamyan,OABN,Bamiyan,,Afghanistan,34.81700134,67.81700134,"34.81700134,67.81700134"
ZAJ,Zaranj,OAZJ,Zaranj,,Afghanistan,30.972222,61.865833,"30.972222,61.865833"
BST,Lashkar Gah,OABT,Bost,,Afghanistan,31.55970001,64.36499786,"31.55970001,64.36499786"
FAH,Farah,OAFR,Farah,,Afghanistan,32.36700058,62.18299866,"32.36700058,62.18299866"
KHT,Khost,OAKS,Khost,,Afghanistan,33.33340073,69.95200348,"33.33340073,69.95200348"
OAI,Bagram,OAIX,Bagram,,Afghanistan,34.94609833,69.26499939,"34.94609833,69.26499939"
UND,Kunduz,OAUZ,Kunduz,,Afghanistan,36.6651001,68.91079712,"36.6651001,68.91079712"
TIA,Tirana,LATI,Tirana,,Albania,41.41469955,19.72060013,"41.41469955,19.72060013"
KFZ,Kukes,LAKU,Kukës,,Albania,42.0342197,20.41615653,"42.0342197,20.41615653"
ALG,Algiers,DAAG,Algiers,,Algeria,36.69100189,3.215409994,"36.69100189,3.215409994"
CZL,Constantine,DABC,Constantine,,Algeria,36.27600098,6.620389938,"36.27600098,6.620389938"
QSF,Setif,DAAS,Setif,,Algeria,36.17810059,5.32449007,"36.17810059,5.32449007"
GHA,Ghardaia,DAUG,Ghardaia,,Algeria,32.38410187,3.79411006,"32.38410187,3.79411006"
TLM,Tlemcen,DAON,Tlemcen,,Algeria,35.01670074,-1.450000048,"35.01670074,-1.450000048"
ORN,Oran Ahmed Ben Bella Apt,DAOO,Oran,,Algeria,35.62390137,-0.621182978,"35.62390137,-0.621182978"
TEE,Tebessa,DABS,Tebessi,,Algeria,35.43159866,8.12071991,"35.43159866,8.12071991"
BSK,Biskra,DAUB,Biskra,,Algeria,34.79330063,5.738230228,"34.79330063,5.738230228"
AAE,Annaba,DABB,Annabah,,Algeria,36.82220078,7.809169769,"36.82220078,7.809169769"
OGX,Ouargla,DAUU,Ouargla,,Algeria,31.91720009,5.412779808,"31.91720009,5.412779808"
TMR,Tamanrasset,DAAT,Tamanrasset,,Algeria,22.81150055,5.451079845,"22.81150055,5.451079845"
AZR,Adrar,DAUA,Adrar District,,Algeria,27.83760071,-0.186414003,"27.83760071,-0.186414003"
GJL,Jijel,DAAV,Jijel,,Algeria,36.79510117,5.87361002,"36.79510117,5.87361002"
BLJ,Batna,DABT,Batna,,Algeria,35.7521019,6.308589935,"35.7521019,6.308589935"
CBH,Bechar,DAOR,Bechar,,Algeria,31.64570045,-2.269860029,"31.64570045,-2.269860029"
TIN,Tindouf,DAOF,Tindouf,,Algeria,27.7003994,-8.167099953,"27.7003994,-8.167099953"
HME,Hassi Messaoud,DAUH,Hassi Messaoud,,Algeria,31.67300034,6.140439987,"31.67300034,6.140439987"
VVZ,Illizi,DAAP,Illizi,,Algeria,26.7234993,8.622650147,"26.7234993,8.622650147"
LOO,Laghouat,DAUL,Laghouat,,Algeria,33.76440048,2.928339958,"33.76440048,2.928339958"
ELU,El Oued,DAUO,Guemar,,Algeria,33.51139832,6.776790142,"33.51139832,6.776790142"
ELG,El Golea,DAUE,El Menia District,,Algeria,30.57130051,2.859590054,"30.57130051,2.859590054"
IAM,In Amenas,DAUZ,Amenas,,Algeria,28.05150032,9.642910004,"28.05150032,9.642910004"
INZ,In Salah,DAUI,In Salah,,Algeria,27.25099945,2.512020111,"27.25099945,2.512020111"
BJA,Bejaia,DAAE,Bejaia,,Algeria,36.7120018,5.069920063,"36.7120018,5.069920063"
